,epoch_loss_avg,binary_acc,precision,recall,f1,AUC,AUPRC,mcc
0,0.08416401049124886,0.9828085444134587,0.8442666818330139,0.10706807564515504,0.18113520888295223,0.8293322075020004,0.29619198433521216,0.28294595697541675
1,0.07951080320337507,0.9833607443060599,0.7012331045878495,0.18263883309750512,0.28838189188059493,0.8405605320194613,0.31709524373326686,0.35116982291445503
2,0.07990112878429864,0.9833350089347535,0.7783178482948117,0.15519476174513214,0.2532520999220237,0.8408492431900138,0.3247161158314021,0.335428231250103
3,0.08079658589500663,0.9835672793622259,0.7359726805775063,0.19631698138364911,0.3016911795940318,0.841898650099342,0.3280634931005889,0.36539533994976897
4,0.07830687450642317,0.9835876424371793,0.6751253528587895,0.24732625378156542,0.3563762323563749,0.8432555877345023,0.33854949502472015,0.3984854334552781
5,0.08100291041611453,0.983951457428763,0.7299228713957974,0.2215271977585916,0.33654812452501326,0.8389964570028028,0.3296543987458327,0.3938652598722379
6,0.07990512922559413,0.9836498346434667,0.6970014402456317,0.23023151840159967,0.3419777430551736,0.8333891395176399,0.334041243928441,0.391696086466281
7,0.08266065837990222,0.9837877633568543,0.6860165357183271,0.2397953669476129,0.3526261022919162,0.8325196151760668,0.3291267939690016,0.39751461445577285
8,0.08563871189046073,0.9839893967423338,0.7121858750536695,0.2407178466469023,0.3555368628910607,0.8306395061138229,0.3311647500373742,0.4049740274468375
9,0.08854607228517045,0.9830747790765662,0.643879523052737,0.27015784925738956,0.36723736695709397,0.8225887124632745,0.3225620898273791,0.40131462996731215
