,epoch_loss_avg,binary_acc,precision,recall,f1,AUC,AUPRC,mcc
0,0.33090674347765403,0.9159588563090988,0.7567006569841137,0.24342582509573343,0.3608323116106852,0.8880846558464899,0.5549195479756648,0.3941864988097606
1,0.3181470033396548,0.9183167951802268,0.719611726781179,0.3228186400552903,0.42953354060546367,0.8992295029446741,0.5801680118696668,0.43670812303029327
2,0.3116386371570717,0.9159233457709928,0.6905829074242903,0.35722279391090217,0.4341275068341258,0.9002668276153246,0.5818794731036294,0.43290713004127623
3,0.3033101842798498,0.9202563084413029,0.6532921014830374,0.4204962684684944,0.5104046973498237,0.9032093790135638,0.5905114988157443,0.4835197317303363
4,0.3005127670533887,0.9207012236950968,0.6862760222598989,0.38805647202780574,0.4869763434278502,0.9038744403368758,0.5924917244355781,0.4732674575295575
5,0.3075844088107894,0.9170133505725427,0.6581634652264137,0.41233755002637507,0.4900417074514648,0.9037105123985532,0.5940862712439756,0.47132113112137686
6,0.31182099007958664,0.9201535408118268,0.7115680091742471,0.3639540128025677,0.4663324879680154,0.9039936635228376,0.5934814179725951,0.4643659186179908
7,0.303719754363282,0.9218550695061667,0.676339566186711,0.41606712831879306,0.5104241575908997,0.9047616153271278,0.5973961294427788,0.4895636223558146
8,0.3022374727344568,0.9209755511868805,0.680001183828277,0.3973304250498199,0.4950244191189698,0.9040709953198851,0.5945716418795941,0.47821903453696074
9,0.3150793962590738,0.9147657833750055,0.6397310414825664,0.447336602914395,0.49295040846571087,0.904057208485219,0.5938750921068271,0.47475577356430493
