,epoch_loss_avg,binary_acc,precision,recall,f1,AUC,AUPRC,mcc
0,0.23305909663438795,0.9306050698779027,0.7573820051107406,0.2414255121246307,0.34283432054751656,0.8973546237357812,0.5305162433858153,0.38483755857807606
1,0.21491297596267295,0.933451673911019,0.822661298807318,0.2530797871413147,0.3624236209075955,0.9204494038172719,0.6076949398860905,0.4150339948753848
2,0.18839703955820628,0.9392343959782279,0.7309921697153532,0.3841329412024105,0.4987206909648532,0.926775240719089,0.618348501174703,0.4999495026202176
3,0.19243754638092858,0.9383544644239341,0.7214848885569118,0.41965765157917795,0.5089707072260681,0.9273392405859996,0.6276661046269059,0.5096569991424674
4,0.18893905537469047,0.9418161449291569,0.7805015935637325,0.3834531519296443,0.507818609068704,0.9315602009758109,0.6414179078820624,0.5186608403468145
5,0.188508961509381,0.9415796870862664,0.7776274824445908,0.3930171375200399,0.5118908175468636,0.9332216797927388,0.6502668856804563,0.5218716414654664
6,0.18148005012954987,0.9374186891422674,0.6755885453234134,0.5156069487328054,0.5681722026577367,0.9339889777189712,0.6560705509555241,0.5503426489224277
7,0.18117336459457875,0.9428561393624912,0.7496328223513093,0.43471829875226736,0.5469704392499323,0.9345907718496773,0.6556100106431301,0.5425039671145326
8,0.18891183014426913,0.9396580865180096,0.7041076784109981,0.48128717842903673,0.5475852653895916,0.9342298163648983,0.6543801279730947,0.5395451791832235
9,0.1803727689385414,0.9426894043789706,0.7107722717823337,0.4878145568521468,0.5737135615658902,0.9344711368503174,0.6575889433344692,0.5578829666170437
